,seq,label
0,открой телеграм,1
0,телеграм открой,1
0,открой телеграм,1
0,телеграм открой,1
0,открой телеграм,1
0,телеграм открой,1
0,телеграм запусти,1
0,запусти телеграм,1
0,открой приложение телеграм,1
0,запусти приложение телеграм,1
0,приложение телеграм открой,1
0,приложение телеграм запусти,1

0,открой хром,2
0,хром открой,2
0,открой хром,2
0,хром открой,2
0,открой хром,2
0,хром открой,2
0,хром запусти,2
0,запусти хром,2
0,открой приложение хром,2
0,запусти приложение хром,2
0,приложение хром открой,2
0,приложение хром запусти,2
0,открой гугл,2
0,гугл открой,2
0,открой гугл,2
0,гугл открой,2
0,открой гугл,2
0,гугл открой,2
0,гугл запусти,2
0,запусти гугл,2
0,открой приложение гугл,2
0,запусти приложение гугл,2
0,приложение гугл открой,2
0,приложение гугл запусти,2

0,открой настройки,3
0,настройки открой,3
0,открой настройки,3
0,настройки открой,3
0,открой настройки,3
0,настройки открой,3
0,настройки запусти,3
0,запусти настройки,3
0,открой приложение настройки,3
0,запусти приложение настройки,3
0,приложение настройки открой,3
0,приложение настройки запусти,3

0,открой сафари,4
0,сафари открой,4
0,открой сафари,4
0,сафари открой,4
0,открой сафари,4
0,сафари открой,4
0,сафари запусти,4
0,запусти сафари,4
0,открой приложение сафари,4
0,запусти приложение сафари,4
0,приложение сафари открой,4
0,приложение сафари запусти,4

0,открой фотошоп,5
0,фотошоп открой,5
0,открой фотошоп,5
0,фотошоп открой,5
0,открой фотошоп,5
0,фотошоп открой,5
0,фотошоп запусти,5
0,запусти фотошоп,5
0,открой приложение фотошоп,5
0,запусти приложение фотошоп,5
0,приложение фотошоп открой,5
0,приложение фотошоп запусти,5

0,открой заметки,6
0,заметки открой,6
0,открой заметки,6
0,заметки открой,6
0,открой заметки,6
0,заметки открой,6
0,заметки запусти,6
0,запусти заметки,6
0,открой приложение заметки,6
0,запусти приложение заметки,6
0,приложение заметки открой,6
0,приложение заметки запусти,6

0,скажи погоду,7
0,скажи погоду на сегодня,7
0,скажи на сегодня погоду,7
0,какая на сегодня погода,7
0,какая сегодня погода,7
0,какая погода сегодня,7
0,скажи погоду,7
0,скажи погоду на сегодня,7
0,скажи на сегодня погоду,7
0,какая на сегодня погода,7
0,какая сегодня погода,7
0,какая погода сегодня,7
0,погода,7
0,погода сегодня,7
0,погода на сегодня,7

0,скажи погоду на завтра,8
0,скажи на завтра погоду,8
0,какая на завтра погода,8
0,какая завтра погода,8
0,какая погода завтра,8
0,какая завтра погода,8
0,какая погода завтра,8
0,какая завтра погода,8
0,какая погода завтра,8
0,погода завтра,8
0,погода на завтра,8

0,включи вайфай,9
0,запусти вайфай,9
0,вайфай включи,9
0,вайфай запусти,9
0,включи вайфай,9
0,запусти вайфай,9
0,вайфай включи,9
0,вайфай запусти,9

0,найди в интернете,10
0,что такое,10
0,как называется,10
0,сколько,10
0,почему,10
0,найди,10
0,раскажи подробно,10
0,раскажи,10
0,раскажи кратко,10
0,объясни,10
0,объясни кратко,10
0,объясни подробно,10
0,подробно раскажи,10
0,раскажи,10
0,раскажи,10
0,кратко раскажи,10
0,кратко раскажи,10
0,объясни,10
0,объясни,10
0,кратко объясни,10
0,кратко объясни,10
0,подробно объясни,10
0,подробно объясни,10
0,раскажи подробно,10
0,раскажи,10
0,раскажи кратко,10
0,объясни,10
0,объясни кратко,10
0,объясни подробно,10

0,включи чат,11
0,чат включи,11
0,чат запусти,11
0,запусти чат,11
0,включи чат,11
0,чат включи,11
0,чат запусти,11
0,запусти чат,11

0,создай заметку заголовок новая заметка,12
0,создай заметку заголовок новая заметка текст,12
0,заметку создай,12
0,заметку создай заголовок новая заметка,12
0,заметку создай заголовок новая заметка текст,12
0,заметку создай заголовок текст,12
0,заметку создай заголовок текст,12

0,привет,13
0,привет,13
0,привет,13
0,привет,13
0,привет,13

0,здарово джарвис,14
0,здарово джарвис,14
0,здарово джарвис,14
0,здарово джарвис,14

0,закрой приложение,15
0,закрой приложение,15
0,закрой приложение,15
0,закрой приложение,15

0,сгенерируй изобаражение,16
0,изобаражение сгенерируй,16
0,создай изобаражение,16
0,изобаражение сгенерируй,16
0,создай изобаражение,16
0,изобаражение создай,16

0,найди в гугл,17
0,найди в гугле,17
0,загугли ,17
0,загугли что такое,17
0,загугли как называется,17
0,найди в гугл,17
0,найди в гугле,17
0,загугли ,17
0,загугли что такое,17
0,загугли как называется,17